Hull Volant Hull,National Gatineau,15 - 10,"Mer, 22 jun",18:30,Sanscartier 3,ABAG,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5316&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Express Deux-Rives,Mariniers Aylmer,9 - 16,"Mer, 22 jun",18:30,Lloyd,ABAA,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5317&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Patriotes Gatineau,Athlétiques Val-des-Monts,6 - 11,"Jeu, 23 jun",18:30,J.A. Perkins,ABAVDM,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5318&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
National Gatineau,Pionniers La Pêche,10 - 10,"Jeu, 23 jun",18:30,Parc des Loups,ABALP,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5319&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Pionniers La Pêche,Athlétiques Val-des-Monts,4 - 5,"Lun, 27 jun",18:30,J.A. Perkins,ABAVDM,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5320&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Mariniers Aylmer,National Gatineau,16 - 0,"Lun, 27 jun",18:30,Sanscartier 3,ABAG,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5321&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Express Deux-Rives,Hull Volant Hull,7 - 17,"Mar, 28 jun",18:30,Ste-Bernadette,ABAH,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5322&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
National Gatineau,Patriotes Gatineau,3 - 13,"Mer, 29 jun",18:30,Sanscartier 3,ABAG,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5323&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Hull Volant Hull,Mariniers Aylmer,7 - 3,"Mer, 29 jun",18:30,Lloyd,ABAA,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5324&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
Patriotes Gatineau,Pionniers La Pêche,9 - 12,"Jeu, 30 jun",18:30,Parc des Loups,ABALP,http://www.baseballoutaouais.com/index.php?page=stats&entity=game&action=display&id=5326&back=czo1NzoiL2luZGV4LnBocD9wYWdlPXN0YXRzJmVudGl0eT1jYXRlZ29yeSZhY3Rpb249ZGlzcGxheSZpZD03Ijs=
